,pathname,class,mode
983,/asl_dataset/a/hand1_a_top_seg_2_cropped.jpeg,a,val
27,/asl_dataset/r/hand1_r_right_seg_2_cropped.jpeg,r,val
527,/asl_dataset/g/hand1_g_bot_seg_3_cropped.jpeg,g,val
2310,/asl_dataset/5/hand1_5_dif_seg_1_cropped.jpeg,5,val
1681,/asl_dataset/4/hand2_4_left_seg_3_cropped.jpeg,4,val
2251,/asl_dataset/y/hand5_y_dif_seg_4_cropped.jpeg,y,val
1320,/asl_dataset/m/hand5_m_dif_seg_3_cropped.jpeg,m,val
1981,/asl_dataset/b/hand5_b_dif_seg_1_cropped.jpeg,b,val
2162,/asl_dataset/l/hand2_l_right_seg_1_cropped.jpeg,l,val
2370,/asl_dataset/5/hand4_5_bot_seg_1_cropped.jpeg,5,val
1171,/asl_dataset/o/hand2_o_right_seg_3_cropped.jpeg,o,val
1442,/asl_dataset/c/hand1_c_left_seg_2_cropped.jpeg,c,val
731,/asl_dataset/1/hand1_1_top_seg_4_cropped.jpeg,1,val
1076,/asl_dataset/f/hand4_f_bot_seg_3_cropped.jpeg,f,val
866,/asl_dataset/t/hand5_t_dif_seg_2_cropped.jpeg,t,val
2498,/asl_dataset/w/hand1_w_top_seg_3_cropped.jpeg,w,val
2202,/asl_dataset/2/hand2_2_dif_seg_2_cropped.jpeg,2,val
171,/asl_dataset/9/hand2_9_top_seg_1_cropped.jpeg,9,val
2290,/asl_dataset/y/hand5_y_bot_seg_3_cropped.jpeg,y,val
837,/asl_dataset/8/hand2_8_top_seg_4_cropped.jpeg,8,val
2237,/asl_dataset/y/hand2_y_left_seg_4_cropped.jpeg,y,val
2368,/asl_dataset/5/hand1_5_right_seg_2_cropped.jpeg,5,val
1139,/asl_dataset/o/hand2_o_right_seg_1_cropped.jpeg,o,val
976,/asl_dataset/a/hand2_a_dif_seg_2_cropped.jpeg,a,val
1814,/asl_dataset/x/hand4_x_bot_seg_5_cropped.jpeg,x,val
449,/asl_dataset/n/hand1_n_top_seg_4_cropped.jpeg,n,val
2092,/asl_dataset/k/hand1_k_bot_seg_1_cropped.jpeg,k,val
2191,/asl_dataset/2/hand1_2_right_seg_3_cropped.jpeg,2,val
1705,/asl_dataset/4/hand2_4_bot_seg_1_cropped.jpeg,4,val
1090,/asl_dataset/f/hand2_f_top_seg_3_cropped.jpeg,f,val
519,/asl_dataset/g/hand5_g_bot_seg_5_cropped.jpeg,g,val
1930,/asl_dataset/e/hand1_e_dif_seg_5_cropped.jpeg,e,val
1886,/asl_dataset/e/hand2_e_dif_seg_3_cropped.jpeg,e,val
1647,/asl_dataset/q/hand2_q_left_seg_1_cropped.jpeg,q,val
669,/asl_dataset/z/hand5_z_dif_seg_1_cropped.jpeg,z,val
164,/asl_dataset/9/hand4_9_bot_seg_5_cropped.jpeg,9,val
1418,/asl_dataset/c/hand5_c_bot_seg_3_cropped.jpeg,c,val
11,/asl_dataset/r/hand5_r_dif_seg_5_cropped.jpeg,r,val
2497,/asl_dataset/w/hand1_w_top_seg_4_cropped.jpeg,w,val
2387,/asl_dataset/p/hand2_p_bot_seg_3_cropped.jpeg,p,val
2078,/asl_dataset/k/hand2_k_top_seg_2_cropped.jpeg,k,val
1942,/asl_dataset/e/hand5_e_dif_seg_4_cropped.jpeg,e,val
373,/asl_dataset/i/hand5_i_bot_seg_4_cropped.jpeg,i,val
2107,/asl_dataset/l/hand1_l_top_seg_4_cropped.jpeg,l,val
1067,/asl_dataset/f/hand4_f_bot_seg_5_cropped.jpeg,f,val
276,/asl_dataset/0/hand1_0_bot_seg_1_cropped.jpeg,0,val
140,/asl_dataset/9/hand2_9_dif_seg_2_cropped.jpeg,9,val
896,/asl_dataset/t/hand1_t_top_seg_2_cropped.jpeg,t,val
1960,/asl_dataset/b/hand1_b_left_seg_5_cropped.jpeg,b,val
1599,/asl_dataset/v/hand3_v_dif_seg_2_cropped.jpeg,v,val
1692,/asl_dataset/4/hand5_4_bot_seg_5_cropped.jpeg,4,val
1268,/asl_dataset/m/hand2_m_bot_seg_1_cropped.jpeg,m,val
687,/asl_dataset/z/hand2_z_right_seg_2_cropped.jpeg,z,val
2007,/asl_dataset/b/hand1_b_dif_seg_4_cropped.jpeg,b,val
755,/asl_dataset/1/hand1_1_right_seg_4_cropped.jpeg,1,val
749,/asl_dataset/1/hand2_1_top_seg_4_cropped.jpeg,1,val
1396,/asl_dataset/c/hand1_c_right_seg_3_cropped.jpeg,c,val
2214,/asl_dataset/2/hand2_2_right_seg_4_cropped.jpeg,2,val
1149,/asl_dataset/o/hand2_o_left_seg_2_cropped.jpeg,o,val
103,/asl_dataset/u/hand1_u_bot_seg_5_cropped.jpeg,u,val
356,/asl_dataset/i/hand4_i_bot_seg_2_cropped.jpeg,i,val
854,/asl_dataset/t/hand1_t_dif_seg_4_cropped.jpeg,t,val
95,/asl_dataset/u/hand2_u_right_seg_4_cropped.jpeg,u,val
2139,/asl_dataset/l/hand5_l_dif_seg_4_cropped.jpeg,l,val
1095,/asl_dataset/f/hand5_f_dif_seg_2_cropped.jpeg,f,val
1033,/asl_dataset/a/hand2_a_left_seg_2_cropped.jpeg,a,val
2451,/asl_dataset/w/hand1_w_top_seg_1_cropped.jpeg,w,val
985,/asl_dataset/a/hand2_a_dif_seg_4_cropped.jpeg,a,val
2297,/asl_dataset/y/hand5_y_bot_seg_2_cropped.jpeg,y,val
849,/asl_dataset/t/hand1_t_left_seg_5_cropped.jpeg,t,val
2013,/asl_dataset/b/hand2_b_left_seg_2_cropped.jpeg,b,val
1547,/asl_dataset/v/hand3_v_dif_seg_1_cropped.jpeg,v,val
2487,/asl_dataset/w/hand2_w_top_seg_1_cropped.jpeg,w,val
2353,/asl_dataset/5/hand2_5_bot_seg_4_cropped.jpeg,5,val
341,/asl_dataset/7/hand1_7_left_seg_3_cropped.jpeg,7,val
246,/asl_dataset/0/hand2_0_bot_seg_1_cropped.jpeg,0,val
2,/asl_dataset/r/hand2_r_top_seg_5_cropped.jpeg,r,val
1438,/asl_dataset/c/hand1_c_left_seg_4_cropped.jpeg,c,val
1385,/asl_dataset/j/hand2_j_left_seg_5_cropped.jpeg,j,val
1452,/asl_dataset/c/hand1_c_dif_seg_3_cropped.jpeg,c,val
446,/asl_dataset/n/hand1_n_bot_seg_2_cropped.jpeg,n,val
539,/asl_dataset/g/hand1_g_top_seg_1_cropped.jpeg,g,val
96,/asl_dataset/u/hand2_u_left_seg_4_cropped.jpeg,u,val
136,/asl_dataset/u/hand3_u_dif_seg_3_cropped.jpeg,u,val
123,/asl_dataset/u/hand4_u_bot_seg_4_cropped.jpeg,u,val
1109,/asl_dataset/f/hand2_f_dif_seg_1_cropped.jpeg,f,val
1119,/asl_dataset/o/hand5_o_bot_seg_5_cropped.jpeg,o,val
420,/asl_dataset/n/hand4_n_bot_seg_5_cropped.jpeg,n,val
1534,/asl_dataset/d/hand2_d_bot_seg_3_cropped.jpeg,d,val
1166,/asl_dataset/o/hand2_o_bot_seg_5_cropped.jpeg,o,val
634,/asl_dataset/z/hand1_z_top_seg_1_cropped.jpeg,z,val
425,/asl_dataset/n/hand2_n_bot_seg_1_cropped.jpeg,n,val
1556,/asl_dataset/v/hand5_v_dif_seg_5_cropped.jpeg,v,val
885,/asl_dataset/t/hand4_t_bot_seg_4_cropped.jpeg,t,val
1709,/asl_dataset/4/hand4_4_bot_seg_4_cropped.jpeg,4,val
309,/asl_dataset/7/hand4_7_bot_seg_3_cropped.jpeg,7,val
50,/asl_dataset/r/hand5_r_bot_seg_3_cropped.jpeg,r,val
748,/asl_dataset/1/hand2_1_top_seg_3_cropped.jpeg,1,val
1751,/asl_dataset/x/hand2_x_bot_seg_3_cropped.jpeg,x,val
247,/asl_dataset/0/hand1_0_left_seg_1_cropped.jpeg,0,val
1559,/asl_dataset/v/hand1_v_right_seg_4_cropped.jpeg,v,val
468,/asl_dataset/n/hand1_n_dif_seg_3_cropped.jpeg,n,val
78,/asl_dataset/u/hand2_u_bot_seg_3_cropped.jpeg,u,val
1242,/asl_dataset/h/hand5_h_dif_seg_3_cropped.jpeg,h,val
1406,/asl_dataset/c/hand1_c_right_seg_2_cropped.jpeg,c,val
1277,/asl_dataset/m/hand1_m_bot_seg_2_cropped.jpeg,m,val
1262,/asl_dataset/m/hand4_m_bot_seg_3_cropped.jpeg,m,val
2074,/asl_dataset/k/hand5_k_dif_seg_4_cropped.jpeg,k,val
458,/asl_dataset/n/hand1_n_top_seg_1_cropped.jpeg,n,val
845,/asl_dataset/t/hand1_t_bot_seg_1_cropped.jpeg,t,val
1046,/asl_dataset/f/hand1_f_bot_seg_3_cropped.jpeg,f,val
194,/asl_dataset/9/hand1_9_dif_seg_5_cropped.jpeg,9,val
2433,/asl_dataset/p/hand2_p_right_seg_1_cropped.jpeg,p,val
1654,/asl_dataset/q/hand2_q_dif_seg_3_cropped.jpeg,q,val
483,/asl_dataset/n/hand2_n_right_seg_2_cropped.jpeg,n,val
192,/asl_dataset/9/hand2_9_bot_seg_4_cropped.jpeg,9,val
1980,/asl_dataset/b/hand1_b_right_seg_2_cropped.jpeg,b,val
1792,/asl_dataset/x/hand1_x_right_seg_5_cropped.jpeg,x,val
2309,/asl_dataset/5/hand1_5_left_seg_4_cropped.jpeg,5,val
2253,/asl_dataset/y/hand2_y_top_seg_4_cropped.jpeg,y,val
1558,/asl_dataset/v/hand1_v_left_seg_1_cropped.jpeg,v,val
639,/asl_dataset/z/hand3_z_dif_seg_1_cropped.jpeg,z,val
1662,/asl_dataset/q/hand3_q_dif_seg_4_cropped.jpeg,q,val
2512,/asl_dataset/w/hand2_w_dif_seg_2_cropped.jpeg,w,val
2144,/asl_dataset/l/hand2_l_bot_seg_2_cropped.jpeg,l,val
255,/asl_dataset/0/hand2_0_top_seg_2_cropped.jpeg,0,val
1042,/asl_dataset/a/hand1_a_right_seg_2_cropped.jpeg,a,val
1495,/asl_dataset/d/hand5_d_bot_seg_5_cropped.jpeg,d,val
570,/asl_dataset/6/hand5_6_dif_seg_1_cropped.jpeg,6,val
1253,/asl_dataset/h/hand2_h_right_seg_1_cropped.jpeg,h,val
1483,/asl_dataset/d/hand5_d_bot_seg_4_cropped.jpeg,d,val
1225,/asl_dataset/h/hand1_h_dif_seg_2_cropped.jpeg,h,val
836,/asl_dataset/8/hand2_8_top_seg_3_cropped.jpeg,8,val
2197,/asl_dataset/2/hand5_2_bot_seg_4_cropped.jpeg,2,val
843,/asl_dataset/t/hand2_t_right_seg_4_cropped.jpeg,t,val
852,/asl_dataset/t/hand2_t_bot_seg_5_cropped.jpeg,t,val
2072,/asl_dataset/k/hand1_k_dif_seg_4_cropped.jpeg,k,val
2103,/asl_dataset/l/hand5_l_bot_seg_3_cropped.jpeg,l,val
2333,/asl_dataset/5/hand2_5_dif_seg_5_cropped.jpeg,5,val
1674,/asl_dataset/q/hand1_q_left_seg_3_cropped.jpeg,q,val
1725,/asl_dataset/4/hand1_4_left_seg_5_cropped.jpeg,4,val
604,/asl_dataset/6/hand2_6_left_seg_3_cropped.jpeg,6,val
853,/asl_dataset/t/hand2_t_bot_seg_2_cropped.jpeg,t,val
1787,/asl_dataset/x/hand1_x_top_seg_4_cropped.jpeg,x,val
2341,/asl_dataset/5/hand5_5_bot_seg_4_cropped.jpeg,5,val
347,/asl_dataset/7/hand1_7_left_seg_5_cropped.jpeg,7,val
1829,/asl_dataset/3/hand2_3_dif_seg_4_cropped.jpeg,3,val
204,/asl_dataset/9/hand2_9_left_seg_2_cropped.jpeg,9,val
599,/asl_dataset/6/hand1_6_right_seg_1_cropped.jpeg,6,val
2235,/asl_dataset/y/hand1_y_top_seg_1_cropped.jpeg,y,val
69,/asl_dataset/r/hand4_r_bot_seg_2_cropped.jpeg,r,val
2379,/asl_dataset/p/hand2_p_left_seg_1_cropped.jpeg,p,val
1875,/asl_dataset/3/hand5_3_dif_seg_5_cropped.jpeg,3,val
1519,/asl_dataset/d/hand2_d_bot_seg_2_cropped.jpeg,d,val
742,/asl_dataset/1/hand2_1_right_seg_1_cropped.jpeg,1,val
1931,/asl_dataset/e/hand1_e_left_seg_1_cropped.jpeg,e,val
1308,/asl_dataset/m/hand1_m_left_seg_1_cropped.jpeg,m,val
1063,/asl_dataset/f/hand2_f_right_seg_1_cropped.jpeg,f,val
1463,/asl_dataset/c/hand5_c_dif_seg_5_cropped.jpeg,c,val
1586,/asl_dataset/v/hand1_v_top_seg_4_cropped.jpeg,v,val
339,/asl_dataset/7/hand4_7_bot_seg_1_cropped.jpeg,7,val
507,/asl_dataset/g/hand2_g_bot_seg_1_cropped.jpeg,g,val
908,/asl_dataset/s/hand2_s_dif_seg_1_cropped.jpeg,s,val
1256,/asl_dataset/m/hand1_m_left_seg_2_cropped.jpeg,m,val
1060,/asl_dataset/f/hand1_f_top_seg_4_cropped.jpeg,f,val
162,/asl_dataset/9/hand2_9_bot_seg_1_cropped.jpeg,9,val
745,/asl_dataset/1/hand1_1_bot_seg_1_cropped.jpeg,1,val
196,/asl_dataset/9/hand5_9_dif_seg_5_cropped.jpeg,9,val
169,/asl_dataset/9/hand3_9_dif_seg_2_cropped.jpeg,9,val
1782,/asl_dataset/x/hand2_x_dif_seg_3_cropped.jpeg,x,val
1018,/asl_dataset/a/hand4_a_bot_seg_1_cropped.jpeg,a,val
1117,/asl_dataset/o/hand1_o_left_seg_1_cropped.jpeg,o,val
290,/asl_dataset/7/hand1_7_left_seg_1_cropped.jpeg,7,val
149,/asl_dataset/9/hand2_9_left_seg_1_cropped.jpeg,9,val
1589,/asl_dataset/v/hand2_v_right_seg_2_cropped.jpeg,v,val
1282,/asl_dataset/m/hand2_m_dif_seg_2_cropped.jpeg,m,val
551,/asl_dataset/g/hand2_g_top_seg_4_cropped.jpeg,g,val
1784,/asl_dataset/x/hand1_x_bot_seg_2_cropped.jpeg,x,val
2038,/asl_dataset/k/hand1_k_top_seg_4_cropped.jpeg,k,val
584,/asl_dataset/6/hand2_6_dif_seg_2_cropped.jpeg,6,val
1409,/asl_dataset/c/hand3_c_dif_seg_5_cropped.jpeg,c,val
2199,/asl_dataset/2/hand1_2_left_seg_5_cropped.jpeg,2,val
2205,/asl_dataset/2/hand5_2_bot_seg_1_cropped.jpeg,2,val
1388,/asl_dataset/j/hand1_j_dif_seg_4_cropped.jpeg,j,val
1857,/asl_dataset/3/hand2_3_top_seg_3_cropped.jpeg,3,val
1096,/asl_dataset/f/hand5_f_dif_seg_5_cropped.jpeg,f,val
573,/asl_dataset/6/hand3_6_dif_seg_2_cropped.jpeg,6,val
234,/asl_dataset/0/hand5_0_dif_seg_1_cropped.jpeg,0,val
703,/asl_dataset/1/hand3_1_dif_seg_3_cropped.jpeg,1,val
1677,/asl_dataset/4/hand1_4_top_seg_5_cropped.jpeg,4,val
617,/asl_dataset/6/hand5_6_dif_seg_5_cropped.jpeg,6,val
1541,/asl_dataset/v/hand5_v_dif_seg_4_cropped.jpeg,v,val
2502,/asl_dataset/w/hand1_w_bot_seg_5_cropped.jpeg,w,val
1512,/asl_dataset/d/hand5_d_dif_seg_3_cropped.jpeg,d,val
2003,/asl_dataset/b/hand2_b_top_seg_2_cropped.jpeg,b,val
542,/asl_dataset/g/hand3_g_dif_seg_1_cropped.jpeg,g,val
1466,/asl_dataset/d/hand4_d_bot_seg_5_cropped.jpeg,d,val
83,/asl_dataset/u/hand4_u_bot_seg_1_cropped.jpeg,u,val
240,/asl_dataset/0/hand1_0_right_seg_1_cropped.jpeg,0,val
2249,/asl_dataset/y/hand5_y_dif_seg_3_cropped.jpeg,y,val
1823,/asl_dataset/3/hand1_3_top_seg_2_cropped.jpeg,3,val
1299,/asl_dataset/m/hand1_m_top_seg_1_cropped.jpeg,m,val
528,/asl_dataset/g/hand2_g_right_seg_2_cropped.jpeg,g,val
505,/asl_dataset/g/hand2_g_left_seg_5_cropped.jpeg,g,val
876,/asl_dataset/t/hand4_t_bot_seg_5_cropped.jpeg,t,val
1089,/asl_dataset/f/hand2_f_top_seg_4_cropped.jpeg,f,val
1583,/asl_dataset/v/hand1_v_bot_seg_2_cropped.jpeg,v,val
106,/asl_dataset/u/hand1_u_top_seg_4_cropped.jpeg,u,val
1226,/asl_dataset/h/hand1_h_right_seg_2_cropped.jpeg,h,val
328,/asl_dataset/7/hand5_7_dif_seg_5_cropped.jpeg,7,val
871,/asl_dataset/t/hand2_t_bot_seg_1_cropped.jpeg,t,val
536,/asl_dataset/g/hand2_g_dif_seg_1_cropped.jpeg,g,val
57,/asl_dataset/r/hand2_r_right_seg_5_cropped.jpeg,r,val
2434,/asl_dataset/p/hand1_p_bot_seg_2_cropped.jpeg,p,val
1771,/asl_dataset/x/hand2_x_left_seg_1_cropped.jpeg,x,val
2143,/asl_dataset/l/hand2_l_top_seg_4_cropped.jpeg,l,val
1071,/asl_dataset/f/hand2_f_bot_seg_1_cropped.jpeg,f,val
1449,/asl_dataset/c/hand2_c_top_seg_4_cropped.jpeg,c,val
1922,/asl_dataset/e/hand1_e_left_seg_3_cropped.jpeg,e,val
1100,/asl_dataset/f/hand2_f_left_seg_4_cropped.jpeg,f,val
326,/asl_dataset/7/hand1_7_dif_seg_2_cropped.jpeg,7,val
1607,/asl_dataset/q/hand4_q_bot_seg_1_cropped.jpeg,q,val
243,/asl_dataset/0/hand4_0_bot_seg_5_cropped.jpeg,0,val
1263,/asl_dataset/m/hand1_m_dif_seg_1_cropped.jpeg,m,val
244,/asl_dataset/0/hand3_0_dif_seg_3_cropped.jpeg,0,val
1029,/asl_dataset/a/hand5_a_dif_seg_5_cropped.jpeg,a,val
960,/asl_dataset/s/hand5_s_bot_seg_4_cropped.jpeg,s,val
2019,/asl_dataset/b/hand1_b_left_seg_1_cropped.jpeg,b,val
1882,/asl_dataset/3/hand1_3_left_seg_3_cropped.jpeg,3,val
583,/asl_dataset/6/hand1_6_left_seg_5_cropped.jpeg,6,val
250,/asl_dataset/0/hand5_0_dif_seg_5_cropped.jpeg,0,val
1275,/asl_dataset/m/hand2_m_dif_seg_3_cropped.jpeg,m,val
2274,/asl_dataset/y/hand4_y_bot_seg_4_cropped.jpeg,y,val
809,/asl_dataset/8/hand1_8_right_seg_5_cropped.jpeg,8,val
2174,/asl_dataset/2/hand4_2_bot_seg_2_cropped.jpeg,2,val
181,/asl_dataset/9/hand2_9_top_seg_4_cropped.jpeg,9,val
1619,/asl_dataset/q/hand5_q_dif_seg_2_cropped.jpeg,q,val
135,/asl_dataset/u/hand1_u_right_seg_4_cropped.jpeg,u,val
1219,/asl_dataset/h/hand4_h_bot_seg_2_cropped.jpeg,h,val
763,/asl_dataset/1/hand2_1_top_seg_2_cropped.jpeg,1,val
535,/asl_dataset/g/hand2_g_right_seg_3_cropped.jpeg,g,val
1267,/asl_dataset/m/hand1_m_left_seg_3_cropped.jpeg,m,val
1465,/asl_dataset/d/hand4_d_bot_seg_2_cropped.jpeg,d,val
1943,/asl_dataset/e/hand2_e_left_seg_3_cropped.jpeg,e,val
1161,/asl_dataset/o/hand1_o_dif_seg_5_cropped.jpeg,o,val
865,/asl_dataset/t/hand2_t_top_seg_5_cropped.jpeg,t,val
572,/asl_dataset/6/hand3_6_dif_seg_5_cropped.jpeg,6,val
1896,/asl_dataset/e/hand1_e_right_seg_1_cropped.jpeg,e,val
1788,/asl_dataset/x/hand1_x_top_seg_3_cropped.jpeg,x,val
1637,/asl_dataset/q/hand5_q_bot_seg_3_cropped.jpeg,q,val
1212,/asl_dataset/h/hand4_h_bot_seg_4_cropped.jpeg,h,val
1189,/asl_dataset/h/hand1_h_top_seg_3_cropped.jpeg,h,val
2041,/asl_dataset/k/hand5_k_bot_seg_2_cropped.jpeg,k,val
955,/asl_dataset/s/hand3_s_dif_seg_2_cropped.jpeg,s,val
2359,/asl_dataset/5/hand1_5_dif_seg_2_cropped.jpeg,5,val
84,/asl_dataset/u/hand1_u_dif_seg_3_cropped.jpeg,u,val
950,/asl_dataset/s/hand4_s_bot_seg_3_cropped.jpeg,s,val
1573,/asl_dataset/v/hand1_v_top_seg_2_cropped.jpeg,v,val
2482,/asl_dataset/w/hand2_w_left_seg_2_cropped.jpeg,w,val
901,/asl_dataset/t/hand2_t_left_seg_5_cropped.jpeg,t,val
1537,/asl_dataset/v/hand2_v_right_seg_1_cropped.jpeg,v,val
1615,/asl_dataset/q/hand2_q_top_seg_4_cropped.jpeg,q,val
824,/asl_dataset/8/hand2_8_bot_seg_3_cropped.jpeg,8,val
1638,/asl_dataset/q/hand5_q_bot_seg_4_cropped.jpeg,q,val
1872,/asl_dataset/3/hand2_3_left_seg_1_cropped.jpeg,3,val
754,/asl_dataset/1/hand1_1_dif_seg_4_cropped.jpeg,1,val
2159,/asl_dataset/l/hand1_l_top_seg_1_cropped.jpeg,l,val
2425,/asl_dataset/p/hand2_p_dif_seg_3_cropped.jpeg,p,val
557,/asl_dataset/g/hand1_g_dif_seg_4_cropped.jpeg,g,val
41,/asl_dataset/r/hand5_r_bot_seg_5_cropped.jpeg,r,val
2010,/asl_dataset/b/hand2_b_left_seg_5_cropped.jpeg,b,val
191,/asl_dataset/9/hand3_9_dif_seg_1_cropped.jpeg,9,val
700,/asl_dataset/1/hand2_1_bot_seg_1_cropped.jpeg,1,val
1685,/asl_dataset/4/hand2_4_right_seg_3_cropped.jpeg,4,val
710,/asl_dataset/1/hand3_1_dif_seg_5_cropped.jpeg,1,val
1645,/asl_dataset/q/hand1_q_bot_seg_5_cropped.jpeg,q,val
233,/asl_dataset/0/hand2_0_right_seg_2_cropped.jpeg,0,val
1237,/asl_dataset/h/hand1_h_dif_seg_4_cropped.jpeg,h,val
951,/asl_dataset/s/hand1_s_dif_seg_1_cropped.jpeg,s,val
1958,/asl_dataset/b/hand5_b_bot_seg_2_cropped.jpeg,b,val
1150,/asl_dataset/o/hand2_o_left_seg_5_cropped.jpeg,o,val
690,/asl_dataset/z/hand1_z_left_seg_2_cropped.jpeg,z,val
1500,/asl_dataset/d/hand2_d_dif_seg_3_cropped.jpeg,d,val
338,/asl_dataset/7/hand1_7_dif_seg_3_cropped.jpeg,7,val
18,/asl_dataset/r/hand5_r_dif_seg_3_cropped.jpeg,r,val
2153,/asl_dataset/l/hand2_l_bot_seg_3_cropped.jpeg,l,val
637,/asl_dataset/z/hand2_z_bot_seg_4_cropped.jpeg,z,val
2320,/asl_dataset/5/hand1_5_right_seg_1_cropped.jpeg,5,val
63,/asl_dataset/r/hand3_r_dif_seg_4_cropped.jpeg,r,val
1386,/asl_dataset/j/hand1_j_dif_seg_3_cropped.jpeg,j,val
2467,/asl_dataset/w/hand1_w_dif_seg_3_cropped.jpeg,w,val
1423,/asl_dataset/c/hand1_c_bot_seg_4_cropped.jpeg,c,val
2352,/asl_dataset/5/hand2_5_bot_seg_3_cropped.jpeg,5,val
175,/asl_dataset/9/hand4_9_bot_seg_4_cropped.jpeg,9,val
488,/asl_dataset/n/hand2_n_bot_seg_3_cropped.jpeg,n,val
681,/asl_dataset/z/hand1_z_top_seg_4_cropped.jpeg,z,val
1105,/asl_dataset/f/hand2_f_top_seg_5_cropped.jpeg,f,val
2478,/asl_dataset/w/hand4_w_bot_seg_4_cropped.jpeg,w,val
2116,/asl_dataset/l/hand1_l_bot_seg_2_cropped.jpeg,l,val
199,/asl_dataset/9/hand1_9_right_seg_4_cropped.jpeg,9,val
61,/asl_dataset/r/hand4_r_bot_seg_3_cropped.jpeg,r,val
596,/asl_dataset/6/hand1_6_left_seg_4_cropped.jpeg,6,val
306,/asl_dataset/7/hand2_7_left_seg_2_cropped.jpeg,7,val
1819,/asl_dataset/3/hand1_3_right_seg_3_cropped.jpeg,3,val
954,/asl_dataset/s/hand2_s_top_seg_1_cropped.jpeg,s,val
629,/asl_dataset/6/hand2_6_top_seg_2_cropped.jpeg,6,val
303,/asl_dataset/7/hand3_7_dif_seg_2_cropped.jpeg,7,val
2484,/asl_dataset/w/hand2_w_left_seg_5_cropped.jpeg,w,val
1532,/asl_dataset/d/hand2_d_top_seg_2_cropped.jpeg,d,val
2120,/asl_dataset/l/hand4_l_bot_seg_5_cropped.jpeg,l,val
1794,/asl_dataset/x/hand1_x_right_seg_2_cropped.jpeg,x,val
2230,/asl_dataset/2/hand5_2_dif_seg_3_cropped.jpeg,2,val
2154,/asl_dataset/l/hand2_l_top_seg_5_cropped.jpeg,l,val
1844,/asl_dataset/3/hand2_3_top_seg_1_cropped.jpeg,3,val
2033,/asl_dataset/k/hand5_k_bot_seg_3_cropped.jpeg,k,val
1340,/asl_dataset/j/hand1_j_bot_seg_2_cropped.jpeg,j,val
212,/asl_dataset/0/hand1_0_top_seg_4_cropped.jpeg,0,val
1224,/asl_dataset/h/hand5_h_dif_seg_5_cropped.jpeg,h,val
1630,/asl_dataset/q/hand2_q_dif_seg_1_cropped.jpeg,q,val
2183,/asl_dataset/2/hand1_2_right_seg_5_cropped.jpeg,2,val
1793,/asl_dataset/x/hand2_x_left_seg_4_cropped.jpeg,x,val
1801,/asl_dataset/x/hand2_x_top_seg_1_cropped.jpeg,x,val
1325,/asl_dataset/j/hand5_j_dif_seg_1_cropped.jpeg,j,val
1192,/asl_dataset/h/hand1_h_bot_seg_5_cropped.jpeg,h,val
